graphname,1,2,3,4,5,t-FDP
dwt_72,0.817,0.730,0.743,0.737,0.753,0.968
lesmis,0.570,0.256,0.207,0.166,0.186,0.544
can_96,0.510,0.450,0.470,0.416,0.446,0.688
rajat11,0.610,0.451,0.420,0.396,0.388,0.750
jazz,0.403,0.203,0.151,0.138,0.136,0.506
visbrazil,0.337,0.157,0.160,0.125,0.135,0.545
grid17,0.649,0.588,0.565,0.544,0.527,0.983
mesh3e1,0.773,0.685,0.654,0.620,0.617,0.989
netscience,0.574,0.389,0.300,0.258,0.241,0.752
dwt_419,0.495,0.451,0.437,0.424,0.422,0.591
Cluster800_2,0.118,0.023,0.017,0.017,0.016,0.174
qh882,0.432,0.361,0.309,0.281,0.270,0.585
price_1000,0.399,0.191,0.110,0.081,0.072,0.677
dwt_1005,0.368,0.312,0.288,0.272,0.274,0.549
cage8,0.234,0.157,0.106,0.082,0.072,0.303
btree9,0.448,0.375,0.330,0.301,0.292,0.875
bcsstk09,0.428,0.396,0.376,0.361,0.362,0.482
1138_bus,0.502,0.382,0.326,0.290,0.266,0.717
qh1484,0.401,0.338,0.281,0.254,0.248,0.552
ClusterHiera1600_2,0.142,0.063,0.036,0.022,0.020,0.217
bcspwr07,0.444,0.351,0.300,0.271,0.244,0.670
fidapex6,0.586,0.494,0.427,0.394,0.374,0.795
block_2000,0.063,0.038,0.035,0.034,0.028,0.156
sierpinski3d,0.542,0.477,0.414,0.408,0.395,0.637
lp_ship04l,0.041,0.017,0.012,0.002,0.002,0.045
data,0.515,0.453,0.417,0.401,0.392,0.731
3elt,0.573,0.557,0.494,0.483,0.467,0.795
USPowerGrid,0.413,0.317,0.256,0.223,0.196,0.659
add32,0.361,0.219,0.155,0.121,0.098,0.623
ca-GrQc,0.421,0.290,0.241,0.204,0.179,0.495
commanche_dual,0.267,0.260,0.249,0.235,0.232,0.516
EVA,0.289,0.200,0.192,0.196,0.180,0.404
bcsstk33,0.236,0.175,0.149,0.135,0.134,0.291
whitaker3,0.721,0.664,0.628,0.593,0.587,0.977
crack,0.727,0.621,0.556,0.520,0.500,0.958
fe_4elt2,0.586,0.502,0.445,0.414,0.403,0.614
fidapex11,0.199,0.190,0.179,0.171,0.164,0.274