graph\perplexity,5,10,15,20,30,40,50,60,70,80,t-FDP
dwt_72,0.886,0.932,0.939,0.958,0.985,0.981,0.944,0.944,0.785,0.785,0.968
lesmis,0.582,0.587,0.595,0.585,0.587,0.567,0.546,0.488,0.424,0.409,0.544
can_96,0.782,0.787,0.773,0.748,0.672,0.715,0.682,0.635,0.639,0.646,0.688
rajat11,0.733,0.737,0.731,0.703,0.676,0.671,0.644,0.632,0.634,0.632,0.750
jazz,0.534,0.539,0.534,0.530,0.537,0.539,0.533,0.530,0.531,0.530,0.506
visbrazil,0.377,0.352,0.363,0.366,0.345,0.310,0.285,0.230,0.208,0.197,0.545
grid17,0.958,0.958,0.972,0.961,0.961,0.961,0.972,0.983,0.983,0.994,0.983
mesh3e1,0.986,0.940,0.916,0.910,0.912,0.935,0.942,0.961,1.000,1.000,0.989
netscience,0.690,0.688,0.679,0.668,0.623,0.623,0.612,0.603,0.584,0.594,0.752
dwt_419,0.580,0.583,0.571,0.547,0.534,0.526,0.520,0.517,0.517,0.515,0.591
Cluster800_2,0.200,0.200,0.200,0.200,0.200,0.199,0.198,0.198,0.196,0.195,0.174
qh882,0.469,0.461,0.464,0.455,0.453,0.443,0.437,0.429,0.429,0.420,0.585
price_1000,0.357,0.356,0.346,0.338,0.326,0.312,0.298,0.279,0.272,0.257,0.677
dwt_1005,0.677,0.650,0.614,0.591,0.568,0.546,0.527,0.512,0.493,0.481,0.549
cage8,0.335,0.332,0.329,0.327,0.324,0.321,0.321,0.321,0.319,0.317,0.303
btree9,0.241,0.231,0.225,0.211,0.200,0.204,0.196,0.195,0.196,0.202,0.875
bcsstk09,0.465,0.465,0.462,0.468,0.459,0.453,0.448,0.445,0.446,0.444,0.482
1138_bus,0.566,0.521,0.497,0.484,0.459,0.450,0.442,0.433,0.424,0.421,0.717
qh1484,0.444,0.426,0.416,0.401,0.378,0.369,0.356,0.350,0.340,0.339,0.552
ClusterHiera1600_2,0.217,0.217,0.217,0.217,0.215,0.213,0.211,0.208,0.207,0.205,0.217
bcspwr07,0.495,0.459,0.446,0.431,0.405,0.387,0.374,0.368,0.361,0.360,0.670
fidapex6,0.660,0.659,0.658,0.659,0.663,0.667,0.673,0.680,0.686,0.691,0.795
block_2000,0.134,0.131,0.125,0.121,0.114,0.108,0.104,0.102,0.101,0.099,0.156
sierpinski3d,0.601,0.594,0.591,0.584,0.566,0.550,0.537,0.527,0.521,0.515,0.637
lp_ship04l,0.052,0.048,0.047,0.046,0.045,0.046,0.046,0.045,0.044,0.043,0.045
data,0.616,0.608,0.598,0.596,0.595,0.593,0.587,0.579,0.575,0.572,0.731
3elt,0.584,0.589,0.592,0.597,0.603,0.610,0.613,0.613,0.612,0.616,0.795
USPowerGrid,0.412,0.391,0.378,0.366,0.349,0.337,0.328,0.322,0.316,0.311,0.659
add32,0.389,0.366,0.345,0.326,0.310,0.297,0.288,0.280,0.274,0.267,0.623
ca-GrQc,0.497,0.486,0.499,0.450,0.430,0.453,0.455,0.409,0.460,0.458,0.495
commanche_dual,0.220,0.224,0.227,0.226,0.227,0.226,0.229,0.231,0.233,0.235,0.516
EVA,0.123,0.116,0.181,0.110,0.169,0.119,0.112,0.092,0.118,0.104,0.404
bcsstk33,0.259,0.259,0.259,0.259,0.259,0.259,0.258,0.258,0.257,0.255,0.291
whitaker3,0.624,0.625,0.629,0.632,0.637,0.642,0.649,0.654,0.658,0.662,0.977
crack,0.770,0.773,0.776,0.777,0.781,0.782,0.781,0.780,0.779,0.779,0.958
fe_4elt2,0.342,0.355,0.368,0.388,0.416,0.434,0.444,0.452,0.458,0.464,0.614
fidapex11,0.204,0.204,0.204,0.204,0.204,0.205,0.206,0.207,0.208,0.210,0.274